"Ontology Terminology Statistics"															
															
	"Best F1"	0.349206349206					"Best F1"	0.3125							
	"Worst F1"	0.0588235294118					"Worst F1"	0							
															
	"concept"				"Score"			"relation"			"Score"		"Structural"		"Total"
"ontology"	"precision"	"recall"	"F1"	"% of best"	"(max 6)"		"precision"	"recall"	"F1"	"% of best"	"(max 2)"		"(max 2)"		
"risk_tangteng.cxl"	0.139534883721	0.166666666667	0.151898734177	0.434982738780026	2.60989643268016		0.181818181818	0.0540540540541	0.0833333333333	0.26666666666656	0.53333333333312				3.14322976601328
"risk_tangevelyn.cxl"	0.27027027027	0.277777777778	0.27397260274	0.784557907847148	4.70734744708289		0.36	0.243243243243	0.290322580645	0.929032258064	1.858064516128				6.56541196321089
"risk_gomez.cxl"	0.321428571429	0.25	0.28125	0.805397727273533	4.8323863636412		0.235294117647	0.108108108108	0.148148148148	0.4740740740736	0.9481481481472				5.7805345117884
"risk_then.cxl"	0.111111111111	0.0555555555556	0.0740740740741	0.212121212121498	1.27272727272899		0.25	0.0810810810811	0.122448979592	0.3918367346944	0.7836734693888				2.05640074211779
"risk_tangflorence.cxl"	0.228571428571	0.222222222222	0.225352112676	0.645326504481918	3.87195902689151		0.272727272727	0.0810810810811	0.125	0.4	0.8				4.67195902689151
"risk_liew.cxl"	0.206896551724	0.166666666667	0.184615384615	0.528671328670756	3.17202797202454		0.555555555556	0.135135135135	0.217391304348	0.6956521739136	1.3913043478272				4.56333231985174
"risk_ismail.cxl"	0.125	0.138888888889	0.131578947368	0.376794258372377	2.26076555023426		0.291666666667	0.189189189189	0.229508196721	0.7344262295072	1.4688524590144				3.72961800924866
"risk_ting.cxl"	0.105263157895	0.111111111111	0.108108108108	0.30958230958231	1.85749385749386		0.3125	0.135135135135	0.188679245283	0.6037735849056	1.2075471698112				3.06504102730506
"risk_chen.cxl"	0.190476190476	0.111111111111	0.140350877193	0.401913875598538	2.41148325359123		0.25	0.027027027027	0.0487804878049	0.15609756097568	0.31219512195136				2.72367837554259
"risk_jones.cxl"	0.473684210526	0.25	0.327272727273	0.937190082646346	5.62314049587808		0.4	0.108108108108	0.170212765957	0.5446808510624	1.0893617021248				6.71250219800288
"risk_tieleman.cxl"	0.222222222222	0.0555555555556	0.0888888888889	0.254545454545741	1.52727272727445		0.333333333333	0.0540540540541	0.093023255814	0.2976744186048	0.5953488372096				2.12262156448405
"risk_willyanto.cxl"	0.216216216216	0.222222222222	0.219178082192	0.627646326277719	3.76587795766631		0.166666666667	0.0540540540541	0.0816326530612	0.26122448979584	0.52244897959168				4.28832693725799
"risk_barifcani.cxl"	0.285714285714	0.166666666667	0.210526315789	0.602870813396376	3.61722488037825		0.571428571429	0.108108108108	0.181818181818	0.5818181818176	1.1636363636352				4.78086124401345
"risk_small.cxl"	0.217391304348	0.138888888889	0.169491525424	0.485362095532849	2.91217257319709		0.25	0.0540540540541	0.0888888888889	0.28444444444448	0.56888888888896				3.48106146208605
"risk_rolley.cxl"	0.0952380952381	0.0555555555556	0.0701754385965	0.200956937799269	1.20574162679562		0.333333333333	0.0540540540541	0.093023255814	0.2976744186048	0.5953488372096				1.80109046400522
"risk_baptist.cxl"	0.384615384615	0.138888888889	0.204081632653	0.584415584415994	3.50649350649596		0.111111111111	0.027027027027	0.0434782608696	0.13913043478272	0.27826086956544				3.7847543760614
"risk_dumlao.cxl"	0.352941176471	0.166666666667	0.22641509434	0.64837049742883	3.89022298457298		0.125	0.027027027027	0.0444444444444	0.14222222222208	0.28444444444416				4.17466742901714
"risk_tjoeng.cxl"	0.24	0.166666666667	0.196721311475	0.563338301042609	3.38002980625565		0.1875	0.0810810810811	0.11320754717	0.362264150944	0.724528301888				4.10455810814365
"risk_tay.cxl"	0.1875	0.166666666667	0.176470588235	0.505347593582551	3.03208556149531		0.454545454545	0.135135135135	0.208333333333	0.6666666666656	1.3333333333312				4.36541889482651
"risk_phylicia.cxl"	0.166666666667	0.0833333333333	0.111111111111	0.318181818181818	1.90909090909091		0.318181818182	0.189189189189	0.237288135593	0.7593220338976	1.5186440677952				3.42773497688611
"risk_hesstvedt.cxl"	0.0714285714286	0.0833333333333	0.0769230769231	0.220279720280007	1.32167832168004		0.411764705882	0.189189189189	0.259259259259	0.8296296296288	1.6592592592576				2.98093758093764
"risk_baskerville.cxl"	0.171428571429	0.166666666667	0.169014084507	0.483994878361439	2.90396927016863		0.227272727273	0.135135135135	0.169491525424	0.5423728813568	1.0847457627136				3.98871503288223
"risk_philpot.cxl"	0.142857142857	0.0833333333333	0.105263157895	0.30143540669962	1.80861244019772		0.166666666667	0.027027027027	0.046511627907	0.1488372093024	0.2976744186048				2.10628685880252
"risk_tiong.cxl"	0.294117647059	0.138888888889	0.188679245283	0.540308747856404	3.24185248713842		0.4	0.108108108108	0.170212765957	0.5446808510624	1.0893617021248				4.33121418926323
"risk_remedios.cxl"	0.210526315789	0.222222222222	0.216216216216	0.619164619164619	3.71498771498771		0.5	0.216216216216	0.301886792453	0.9660377358496	1.9320754716992				5.64706318668692
